gallery_name,gallery_homepage,gallery_events,gallery_about,address,opening_hours,instagram,facebook,google_maps,google_share,manually checked
Pracownia Duży Pokój,https://www.duzypokoj.org/,-,https://www.duzypokoj.org/misja/,"ul. Warecka 4/6, 00-040 Warszawa","Czwartek - Niedziela: 15:00-19:00
Poniedziałek - Środa: nieczynne",https://www.instagram.com/duzypokoj/,https://www.facebook.com/pracowniaduzypokoj,https://maps.app.goo.gl/4xD2SbUiScKfnP587,https://share.google/ulldIlIfPyNYkmSGJ,✅
Pracownia Wschodnia,https://pracowniawschodnia.pl/galeria/1/,-,https://pracowniawschodnia.pl/kolektyw/,"ul. Władysława Skoczylasa 8, 03-469 Warszawa","Środa - Piątek: 16:00 - 20:00
Sobota - Niedziela: 12:00 - 18:00
Poniedziałek - Wtorek: nieczynne",https://www.instagram.com/pracowniawschodnia/?hl=en,https://www.facebook.com/stowarzyszeniepracowniawschodnia/?locale=pl_PL,https://maps.app.goo.gl/GYyTMGraHSxUL1iK6,https://share.google/E75wZUb8kA1TwfnNd,
R2OT,https://www.r2ot.com/,https://www.r2ot.com/pages/our-exhbitions,https://www.r2ot.com/pages/our-story,"ul.Wilcza 2/4, lok.5, Warszawa","Wtorek - Sobota: 11:00 - 19:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/_r2ot_/,https://www.facebook.com/people/R2OT/61566412019484/,https://maps.app.goo.gl/8KeuDfhUEgVo2Lr98,https://share.google/jnLoMQswrv2z13Xyt,✅
Raster Gallery,https://en.rastergallery.com/,https://en.rastergallery.com/wystawy/,https://en.rastergallery.com/galeria/historia/o-galerii/,"ul. Wspólna 63, 00-687 War­szawa","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/raster_gallery/,https://www.facebook.com/rastergallery,https://maps.app.goo.gl/3rAcxoHskAwnbNb8A,https://share.google/1twXXlw8PSwDIedtz,✅
Skowronscy Art Gallery,https://www.soagallery.pl/en/home/,https://www.soagallery.pl/en/category/events/,https://www.soagallery.pl/en/about-gallery/,"ul. Grzybowska 30/U5, 00-863 Warsaw","Wtorek - Sobota: 11:00 - 19:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/soa_artgallery/,n/a,https://maps.app.goo.gl/ypHgJe6v1PwZvLs77,https://share.google/PpxofjWps8fOcbE0w,✅
Śmierć Człowieka,https://smierc.cz/,-,-,"Dworzec Śródmieście, Peron 3, lokal przy szyldzie WARSZAWA ŚRÓDMIEŚCIE
Al. Jerozolimskie 50, 00-024 Warszawa","Wtorek: 16:00 - 20:00
Środa: nieczynne
Czwartek - Piątek: 16:00 - 20:00
Sobota: 12:00 - 16:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/smiercczlowieka/?hl=en,https://www.facebook.com/smiercczlowieka/?ref=_xav_ig_profile_page_web#,https://maps.app.goo.gl/iJ8AN7HV7kvduNut8,https://share.google/HVPhEJOFLceGLKpVF,✅
Staromiejski Dom Kultury,https://sdk.pl/galeria/,https://sdk.pl/wydarzenia/,https://sdk.pl/o-nas/informacji-o-zakresie-dzialalnosci-tekst-i/,Rynek Starego Miasta 2; 00-272 Warszawa,"Poniedziałek - Piątek 08:00 - 21:00
Sobota: 09:00 - 12:00
Niedziele: nieczynne",https://www.instagram.com/staromiejski_dom_kultury/,https://www.facebook.com/sdk.staromiejskidomkultury,https://maps.app.goo.gl/SfiwMyoNuVNreaEj8,https://share.google/hL33KufUUjDhIREsw,
Stereo Gallery,https://galeriastereo.pl/,https://galeriastereo.pl/exhibitions/,https://galeriastereo.pl/informations/,"ul. Tamka 37/1 (Intercom: 1)
00-355 Warszawa","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/stereo_warsaw/,https://www.facebook.com/p/Galeria-Stereo-100022757485875/,https://maps.app.goo.gl/TZMUNgpfMD7Wyko29,https://share.google/Iva54MI8gAVHabPAQ,✅
Stroboskop Art Space,https://stroboskopartspace.com/,https://stroboskopartspace.com/Home,https://stroboskopartspace.com/,"ul. Siewierska 6, 02-360 Warszawa ",-,https://www.instagram.com/stroboskop_art_space/,https://www.facebook.com/stroboskopartspace?ref=bookmarks#,https://maps.app.goo.gl/H3T6xLTBgZ4UEj6K9,https://share.google/itqORKS4f4m72PYLq,
Szydłowski Gallery,https://www.szydlowski.gallery/,https://www.szydlowski.gallery/,https://www.szydlowski.gallery/about,"ul. Nowolipie 13/15, 00-150 Warszawa, Poland",Środa - Sobota: 12:00 - 18:00,https://www.instagram.com/szydlowskigallery,https://www.facebook.com/szydlowskigallery,https://maps.app.goo.gl/Cxxh21ULSEyiAWhE8,https://share.google/bwP3Olw0nurz0GDh7,✅
TBA Gallery,https://tbagallery.com/,-,https://www.vogue.pl/a/tba-to-nowa-galeria-sztuki-wspolczesnej-w-warszawie,"ul. Wilcza 62
Warsaw, Poland","Wtorek - Sobota: 12:00 - 19:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/tba_gallery,https://www.facebook.com/tba.artgallery,https://maps.app.goo.gl/1grwEYvnCYLe6erg7,https://share.google/hms8YlJGRPwxKwWWp,✅
Turnus,https://turnus.fun/,https://turnus.fun/exhibitions,https://turnus.fun/about,"ul. Wolska 46/48, 01-187 Warsaw",Poniedziałek - Niedziela: 10:00 - 22:00,https://www.instagram.com/turnus.gallery/,https://www.facebook.com/turnustwojegozycia,https://maps.app.goo.gl/ZLZsa3V7gkKP1aTX6,https://share.google/mkN6p9T31krVYfD42,✅
Visteria Foundation Willa Gawrońskich,https://visteriafoundation.pl/,https://visteriafoundation.pl/?shpath=/fundacja-visteria-pl/aktualne-projekty,-,"Al. Ujazdowskie 23, 00-540 Warszawa",-,https://www.instagram.com/visteria.foundation/?hl=en,-,https://maps.app.goo.gl/6AF1FDJHo7W3fs3B6,-,
WHOISPOLA,https://whoispola.com/,https://whoispola.com/exhibitions,-,"Londyńska 13, 03-922 Warszawa","Czwartek - Sobota: 13.00–18.00
Niedziela - Środa: nieczynne",https://www.instagram.com/whoispolagallery/,/,https://maps.app.goo.gl/68LiHNseAqwg6nzP7,https://share.google/PfCiBvoIk4jrZS1z5,✅
Wschód Gallery,https://galeriawschod.com/,https://galeriawschod.com/exhibitions/,https://galeriawschod.com/info/,"ul. Walecznych 38/1
03-916 Warsaw","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/wschodgallery/?hl=en,https://www.facebook.com/wschodgallery/?locale=pl_PL,https://maps.app.goo.gl/tGt6cVXKocayTNzF9,https://share.google/yNshOZ65rxfACSsWV,✅
Zachęta – National Gallery of Art,https://zacheta.art.pl/pl,https://zacheta.art.pl/pl/wystawy,https://zacheta.art.pl/pl/o-nas,"pl. Małachowskiego 3, 00-916 Warszawa","Wtorek - Niedziela godz. 12:00 - 20:00
Poniedziałek: nieczynne",https://www.instagram.com/galeria_zacheta/,https://www.facebook.com/zacheta,https://maps.app.goo.gl/86RmVVja79onHCiS6,https://share.google/zR9VD0P7cITN87TmZ,✅
Zamek Królewski,https://www.zamek-krolewski.pl/,https://www.zamek-krolewski.pl/aktualnosci/68-wystawy-czasowe,,"plac Zamkowy 4, 00-277 Warszawa","Wtorek - Niedziela: 10:00 - 17:00
Poniedziałek: nieczynne",https://www.instagram.com/royalcastleinwarsaw/,https://www.facebook.com/zamek.krolewski.warszawa,https://maps.app.goo.gl/ZQQT3Vp9F1KaMBjS9,https://share.google/9veR2xaTuSlLvn9iF,
Zodiak Warszawski Pawilon Architektury,https://www.pawilonzodiak.pl/,https://www.pawilonzodiak.pl/wystawy/,https://www.pawilonzodiak.pl/o-nas-nowy/,"Pasaż Stefana Wiecheckiego
„Wiecha” 4
00-017, Warszawa","Wtorek - Piątek: 15:00 - 19:00
Sobota - Niedziela: 12:00 - 19:00
Poniedziałek: nieczynne",https://www.instagram.com/pawilon_zodiak/,https://www.facebook.com/zodiakwpa/,https://maps.app.goo.gl/4TixVFVXCivGYi8N7,https://share.google/d0Z4RLP6B8n40HK7Z,
